,id,collection,dc.contributor.advisor,dc.contributor.author[],dc.title[de],dc.title[en],tuhh.contributor.referee,PPN,Verfasser,sonstPers,Titel,RefID_plus_KoRef,Ref,RefKopie,RefID_plus_KoRefKopie
4676.0,5297,20.500.12738/6,"Krauß-Leichert, Ute","Kassel, Wiebke::rp07074::600",Eine Bibliothek für Gründer : Entwicklung einer Aufstellungssystematik und Auswahl einer Software für die Bibliothek des Innovationszentrums Itzehoe,," Laubach, Gudrun ",523568789,"Kassel, Wiebke","Krauß-Leichert, Ute [Ref.]; Laubach, Gudrun [Ko-Ref.]",Eine Bibliothek für Gründer," Laubach, Gudrun [Ko-Ref.]","Krauß-Leichert, Ute [Ref.]","Krauß-Leichert, Ute"," Laubach, Gudrun "
4007.0,5285,20.500.12738/6,"Martienß, Rüdiger","Düngefeld, Merle::rp07062::600","""Verbraucherbildung“ statt „Hauswirtschaft“? Neustrukturierung eines Schulbuches aufgrund einer Lehrplanänderung",," Pfannes, Ulrike ",656567724,"Düngefeld, Merle","Martienß, Rüdiger [Ref.]; Pfannes, Ulrike [Ko-Ref.]",Verbraucherbildung statt Hauswirtschaft?," Pfannes, Ulrike [Ko-Ref.]","Martienß, Rüdiger [Ref.]","Martienß, Rüdiger"," Pfannes, Ulrike "
3736.0,5295,20.500.12738/6,"Pareigis, Stephan","Rull, Andrej::rp07072::600",Fahrspur- und Odometrie-basierte Selbstlokalisierung und Kartierung (SLAM),," Meisel, Andreas ",656879157,"Rull, Andrej","Pareigis, Stephan [Ref.]; Meisel, Andreas [Ko-Ref.]",Fahrspur- und Odometrie-basierte Selbstlokalisierung und Kartierung (SLAM)," Meisel, Andreas [Ko-Ref.]","Pareigis, Stephan [Ref.]","Pareigis, Stephan"," Meisel, Andreas "
4731.0,9756,20.500.12738/6,"Laberenz, Helmut","Bielenberg, Marion::rp11143::600||Schöpp, Wiebke::rp11144::600","Natürlich gesund - Bio für Mutter und Kind : Planung, Durchführung und Optimierung von Schulungseinheiten",," Schönheit, Evelyn",515588741,"Bielenberg, Marion","Laberenz, Helmut; Schönheit, Evelyn",Natürlich gesund - Ernährung mit Bio für Mutter und Kind," Schönheit, Evelyn","Laberenz, Helmut","Laberenz, Helmut"," Schönheit, Evelyn"
4167.0,9713,20.500.12738/6,"Meisel, Andreas","Fries, Carsten::rp07248::500",Realisierung eines dreidimensionalen Laserscanners auf Basis der Lichtschnitttechnik,," Klemke, Gunter ",609317199,"Fries, Carsten","Meisel, Andreas [Ref.]; Klemke, Gunter [Ko-Ref.]",Realisierung eines dreidimensionalen Laserscanners auf Basis der Lichtschnitttechnik," Klemke, Gunter [Ko-Ref.]","Meisel, Andreas [Ref.]","Meisel, Andreas"," Klemke, Gunter "
4147.0,9736,20.500.12738/6,"Neitzke, Michael","Ehlers, Carsten::rp11124::600",Klassifikation von Dokumenten durch Text Mining,," Sarstedt, Stefan ",610722603,"Ehlers, Carsten","Neitzke, Michael [Ref.]; Sarstedt, Stefan [Ko-Ref.]",Klassifikation von Dokumenten durch Text Mining," Sarstedt, Stefan [Ko-Ref.]","Neitzke, Michael [Ref.]","Neitzke, Michael"," Sarstedt, Stefan "
4154.0,9728,20.500.12738/6,"Schmidt, Thomas C.","Knauf, Alexander::rp03621::500",,"Scalable, Distributed Conference Control in Tightly Coupled SIP Scenarios"," Korf, Franz ",610041797,"Knauf, Alexander","Schmidt, Thomas C. [Ref.]; Korf, Franz [Ko-Ref.]","Scalable, Distributed Conference Control in Tightly Coupled SIP Scenarios"," Korf, Franz [Ko-Ref.]","Schmidt, Thomas C. [Ref.]","Schmidt, Thomas C."," Korf, Franz "
4137.0,9747,20.500.12738/6,"Kahlbrandt, Bernd","Jansen, Markus::rp11134::600",Energieeffiziente Betriebssysteme am Beispiel von Linux,," Klemke, Gunter ",612535126,"Jansen, Markus","Kahlbrandt, Bernd [Ref.]; Klemke, Gunter [Ko-Ref.]",Energieeffiziente Betriebssysteme am Beispiel von Linux," Klemke, Gunter [Ko-Ref.]","Kahlbrandt, Bernd [Ref.]","Kahlbrandt, Bernd"," Klemke, Gunter "
4163.0,9719,20.500.12738/6,"Renz, Wolfgang","Sokollek, Wolfram::rp11115::600",Simulation einfacher Evakuierungsszenarien mit Hilfe intentionaler Agenten,," Esser, Friedrich ",609687697,"Sokollek, Wolfram","Renz, Wolfgang [Ref.]; Esser, Friedrich [Ko-Ref.]",Einfache Evakuierungsszenarien mit Hilfe intentionaler Agenten," Esser, Friedrich [Ko-Ref.]","Renz, Wolfgang [Ref.]","Renz, Wolfgang"," Esser, Friedrich "
4126.0,9759,20.500.12738/6,"Sauvagerd, Ulrich","Semedrea, Ioana::rp11147::600",Automatic Keyword Controlled GUI Screen Layout Generation for RTDX Applications Running on TMS320C6713,," Hotop, Hans-Jürgen ",612950840,"Semedrea, Ioana","Sauvagerd, Ulrich [Ref.]; Hotop, Hans-Jürgen [Ko-Ref.]",Automatic Keyword Controlled GUI Screen Layout Generation for RTDX Applications Running on TMS320C6713," Hotop, Hans-Jürgen [Ko-Ref.]","Sauvagerd, Ulrich [Ref.]","Sauvagerd, Ulrich"," Hotop, Hans-Jürgen "
4158.0,9724,20.500.12738/6,"Zukunft, Olaf","Nölken, Renko::rp07427::500",Evaluierung von Usability-Testmethoden und Heuristiken für Computerspiele,," Sarstedt, Stefan ",609696882,"Nölken, Renko","Zukunft, Olaf [Ref.]; Sarstedt, Stefan [Ko-Ref.]",Evaluierung von Usability-Testmethoden und Heuristiken für Computerspiele," Sarstedt, Stefan [Ko-Ref.]","Zukunft, Olaf [Ref.]","Zukunft, Olaf"," Sarstedt, Stefan "
4143.0,9740,20.500.12738/6,"Röh, Dieter","Dreker, Christian::rp11128::600","Die Ausgestaltung der vorbereitenden Einzelbetreuung im Kontext des sozialtherapeutischen Hilfeangebots von ""Jugendwohnung e.V."" : Entwurf eines Betreuungskonzeptes Klinischer Sozialarbeit",," Suess, Gerhard J. ",61172068X,"Dreker, Christian","Röh, Dieter [Ref.]; Suess, Gerhard J. [Ko-Ref.]",Die Ausgestaltung der vorbereitenden Einzelbetreuung im Kontext des sozialtherapeutischen Hilfeangebots von 'Jugendwohnung e.V.'," Suess, Gerhard J. [Ko-Ref.]","Röh, Dieter [Ref.]","Röh, Dieter"," Suess, Gerhard J. "
4149.0,9733,20.500.12738/6,"Klemke, Gunter","Kenfack, Hermand Dieumo Kenfack::rp11121::600",Ein System für die Inbetriebnahme und die Konfiguration eines eingebetteten TCP/IPNetzwerks,," Canzler, Thomas ",610387618,"Kenfack, Hermand Dieumo","Klemke, Gunter [Ref.]; Canzler, Thomas [Ko-Ref.]",Ein System für die Inbetriebnahme und die Konfiguration eines eingebetteten TCP/IPNetzwerks," Canzler, Thomas [Ko-Ref.]","Klemke, Gunter [Ref.]","Klemke, Gunter"," Canzler, Thomas "
4133.0,9751,20.500.12738/6,"Reetmeyer, Henry","Arraki, Chokri::rp11139::600||Rachid, Hicham::rp11138::600","Aufbau, Simulation, Regelung und Visualisierung einer Kugel auf einem Rad",," Hasemann, Henning ",612889130,"Arraki, Chokri","Reetmeyer, Henry [Ref.]; Hasemann, Henning [Ko-Ref.]","Aufbau, Simulation, Regelung und Visualisierung einer Kugel auf einem Rad"," Hasemann, Henning [Ko-Ref.]","Reetmeyer, Henry [Ref.]","Reetmeyer, Henry"," Hasemann, Henning "
4162.0,9720,20.500.12738/6,"Neitzke, Michael","Ellenberg, Jens::rp07356::500",Event Stream Processing mit ESPER unter Einsatz von Datamining Verfahren,," Gerken, Wolfgang ",609688561,"Ellenberg, Jens","Neitzke, Michael [Ref.]; Gerken, Wolfgang [Ko-Ref.]",Event Stream Processing mit ESPER unter Einsatz von Datamining Verfahren," Gerken, Wolfgang [Ko-Ref.]","Neitzke, Michael [Ref.]","Neitzke, Michael"," Gerken, Wolfgang "
4153.0,9729,20.500.12738/6,"Luck, Kai von","Barnkow, Lorenz::rp07528::500",Ein Eye-Tracking-basiertes System für Usability-Untersuchungen von benutzeradaptiven TV-Newstickern,," Wendholt, Birgit ",610359258,"Barnkow, Lorenz","Luck, Kai von [Ref.]; Wendholt, Birgit [Ko-Ref.]",Ein Eye-Tracking-basiertes System für Usability-Untersuchungen von benutzeradaptiven TV-Newstickern," Wendholt, Birgit [Ko-Ref.]","Luck, Kai von [Ref.]","Luck, Kai von"," Wendholt, Birgit "
4202.0,9715,20.500.12738/6,"Gleine, Wolfgang","Stoob, Melanie Kathrin::rp11112::600",Untersuchung des Turbulenzeinflusses auf die Schallerzeugung an einer Rohrströmungsblende in einem Rohrleitungssystem einer Flugzeugklimaanlage,," Wendt, Volker ",594111196,"Stoob, Melanie Kathrin","Gleine, Wolfgang [Ref.]; Wendt, Volker [Ko-Ref.]",Untersuchung des Turbulenzeinflusses auf die Schallerzeugung an einer Rohrströmungsblende in einem Rohrleitungssystem einer Flugzeugklimaanlage," Wendt, Volker [Ko-Ref.]","Gleine, Wolfgang [Ref.]","Gleine, Wolfgang"," Wendt, Volker "
4139.0,9744,20.500.12738/6,"Wendholt, Birgit","Karstaedt, Bastian::rp07584::500","WPF Toolkit für interaktive, raumbezogene Anwendungen",," Luck, Kai von ",612523403,"Karstaedt, Bastian","Wendholt, Birgit [Ref.]; Luck, Kai von [Ko-Ref.]","WPF Toolkit für interaktive, raumbezogene Anwendungen"," Luck, Kai von [Ko-Ref.]","Wendholt, Birgit [Ref.]","Wendholt, Birgit"," Luck, Kai von "
4146.0,9737,20.500.12738/6,"Zukunft, Olaf","Vasaiely, Parham::rp07255::500",,Interactive Simulation of SysML Models using Modelica," Buth, Bettina ",610723499,"Vasaiely, Parham","Zukunft, Olaf [Ref.]; Buth, Bettina [Ko-Ref.]",Interactive Simulation of SysML Models using Modelica," Buth, Bettina [Ko-Ref.]","Zukunft, Olaf [Ref.]","Zukunft, Olaf"," Buth, Bettina "
4157.0,9725,20.500.12738/6,"Schwarz, Bernd","Kirschke, Marco::rp07595::500",Echtzeitbildverarbeitung mit einer FPGA-basierten Prozessorelementkette in einem Fahrspurerkennungssystem,," Schäfers, Michael ",609698796,"Kirschke, Marco","Schwarz, Bernd [Ref.]; Schäfers, Michael [Ko-Ref.]",Echtzeitbildverarbeitung mit einer FPGA-basierten Prozessorelementkette in einem Fahrspurerkennungssystem," Schäfers, Michael [Ko-Ref.]","Schwarz, Bernd [Ref.]","Schwarz, Bernd"," Schäfers, Michael "
4121.0,9762,20.500.12738/6,"Kübler, Hans-Joachim","Bellstorf, Kathrin::rp11150::600",Wie kommen Jugendliche heute an Musik? : eine Studie zur Musikrezeption und Nutzung von Internetangeboten für musikinteressierte Jugendliche,," Spree, Ulrike ",613205715,"Bellstorf, Kathrin","Kübler, Hans-Joachim [Ref.]; Spree, Ulrike [Ko-Ref.]",Wie kommen Jugendliche heute an Musik?," Spree, Ulrike [Ko-Ref.]","Kübler, Hans-Joachim [Ref.]","Kübler, Hans-Joachim"," Spree, Ulrike "
4130.0,9754,20.500.12738/6,"Meisel, Andreas","Jacobi, Dirk::rp11141::600",Identifikation und räumliche Lokalisierung skalierungsinvarianter Merkmale für die visuelle Navigation,," Fohl, Wolfgang ",61289522X,"Jacobi, Dirk","Meisel, Andreas [Ref.]; Fohl, Wolfgang [Ko-Ref.]",Identifikation und räumliche Lokalisierung skalierungsinvarianter Merkmale für die visuelle Navigation," Fohl, Wolfgang [Ko-Ref.]","Meisel, Andreas [Ref.]","Meisel, Andreas"," Fohl, Wolfgang "
4733.0,9734,20.500.12738/6,"Behr-Völtzer, Christiane","Saroglou, Ekaterini::rp11122::600",Ernährung bei chronisch entzündlichen Darmerkrankungen : eine retrospektive Analyse an monozygoten Zwillingen,," Spehlmann, Martina",51556799X,"Saroglou, Ekaterini","Behr-Völtzer, Christiane; Spehlmann, Martina; Schreiber, S.",Ernährung bei chronisch entzündlichen Darmerkrankungen," Spehlmann, Martina; Schreiber, S.","Behr-Völtzer, Christiane","Behr-Völtzer, Christiane"," Spehlmann, Martina"
4165.0,9716,20.500.12738/6,"Fitz, Robert","Fontes, René Pascal::rp11113::600",Entwicklung eines autarken Präzisionsmessgerätesin FPGA Technologie zur Messung desFestkörperanteils in Mehrphasensystemen,," Ebberg, Alfred ",609330020,"Fontes, René Pascal","Fitz, Robert [Ref.]; Ebberg, Alfred [Ko-Ref.]",Entwicklung eines autarken Präzisionsmessgerätes in FPGA Technologie zur Messung des Festkörperanteils in Mehrphasensystemen," Ebberg, Alfred [Ko-Ref.]","Fitz, Robert [Ref.]","Fitz, Robert"," Ebberg, Alfred "
4136.0,9748,20.500.12738/6,"Panitzsch-Wiebe, Marion","Rieß, Mirjam::rp11135::600",„Jung! Mutter! Jugendhilfe! Bildungschancen?“ : Bildungschancen von jungen Müttern in Jugendhilfe,," Hagen, Jutta ",612630757,"Rieß, Mirjam","Panitzsch-Wiebe, Marion [Ref.]; Hagen, Jutta [Ko-Ref.]",Jung! Mutter! Jugendhilfe! Bildungschancen?: Bildungschancen von jungen Müttern in Jugendhilfe," Hagen, Jutta [Ko-Ref.]","Panitzsch-Wiebe, Marion [Ref.]","Panitzsch-Wiebe, Marion"," Hagen, Jutta "
4142.0,9741,20.500.12738/6,,"Frijia, Annika::rp11129::600",Traumatisierte Kinder und Jugendliche in der stationären Jugendhilfe : Traumafolgen als Herausforderungen für den pädagogischen Alltag,,,61172152X,"Frijia, Annika","Schürgers[Ref.], Georg; Suess[Ko-Ref.], Gerhard J.",Traumatisierte Kinder und Jugendliche in der stationären Jugendhilfe," Suess[Ko-Ref.], Gerhard J.","Schürgers[Ref.], Georg",,
4152.0,9730,20.500.12738/6,"Schäfers, Michael","Schwarzer, Jan::rp00941::500",Evaluation von Nintex Workflow 2007 für die Erstellung von Workflow-Lösungen unter Microsoft SharePoint Technologien,," Buth, Bettina ",610360353,"Schwarzer, Jan","Schäfers, Michael [Ref.]; Buth, Bettina [Ko-Ref.]",Evaluation von Nintex Workflow 2007 für die Erstellung von Workflow-Lösungen unter Microsoft SharePoint Technologien," Buth, Bettina [Ko-Ref.]","Schäfers, Michael [Ref.]","Schäfers, Michael"," Buth, Bettina "
4117.0,9765,20.500.12738/6,"Kübler, Hans-Joachim","Schippling, Anja::rp11153::600","Der gläserne Internetkonsument : direkte Werbeansprache durch personenbezogene Daten im Internet, Strategien von Online-Unternehmen und die Wahrnehmung durch die Konsumenten",," Gundlach, Hardy ",61479921X,"Schippling, Anja","Kübler, Hans-Joachim [Ref.]; Gundlach, Hardy [Ko-Ref.]",Der gläserne Internetkonsument," Gundlach, Hardy [Ko-Ref.]","Kübler, Hans-Joachim [Ref.]","Kübler, Hans-Joachim"," Gundlach, Hardy "
4128.0,9757,20.500.12738/6,"Reichardt, Jürgen","Jeyrani-Mameghani, Ramin::rp11145::600",SoC-basierte Erprobungsplattform für CCD-Kameras mit Channel Link Interface,," Schwarz, Bernd ",612944875,"Jeyrani-Mameghani, Ramin","Reichardt, Jürgen [Ko-Ref.]; Schwarz, Bernd [Ref.]",SoC-basierte Erprobungsplattform für CCD-Kameras mit Channel Link Interface," Schwarz, Bernd [Ref.]","Reichardt, Jürgen [Ko-Ref.]","Reichardt, Jürgen"," Schwarz, Bernd "
4156.0,9726,20.500.12738/6,"Schäfers, Michael","Pautz,  Alexander::rp07578::500",Design und Implementierung eines Mikroprozessorinterfaces für ARM Prozessoren einschließlich einer Beispielapplikation,," Klemke, Gunther ",60998621X,"Pautz, Alexander","Schäfers, Michael [Ref.]; Klemke, Gunther [Ko-Ref.]",Design und Implementierung eines Mikroprozessorinterfaces für ARM Prozessoren einschließlich einer Beispielapplikation," Klemke, Gunther [Ko-Ref.]","Schäfers, Michael [Ref.]","Schäfers, Michael"," Klemke, Gunther "
4132.0,9752,20.500.12738/6,"Canzler, Thomas","Depke, Jan::rp08632::500","Planung, Entwicklung und Implementierung eines Embedded Device zur Anwendung chemometrischer Schätzmodelle in der analytischen Spektroskopie",," Klemke, Gunter ",612893138,"Depke, Jan","Canzler, Thomas [Ref.]; Klemke, Gunter [Ko-Ref.]","Planung, Entwicklung und Implementierung eines Embedded Device zur Anwendung chemometrischer Schätzmodelle in der analytischen Spektroskopie"," Klemke, Gunter [Ko-Ref.]","Canzler, Thomas [Ref.]","Canzler, Thomas"," Klemke, Gunter "
4734.0,9721,20.500.12738/6,"Hamm, Michael","Wagner, Janine::rp11116::600","Die Multimedia-DVD als Info-Medium zur Prävention von Adipositas bei Kindern aus ernährungswissenschaftlicher, pädagogischer und ökonomischer Sicht",," Ortmann, Utz ",515542504,"Wagner, Janine","Hamm, Michael [Ref.]; Ortmann, Utz [Ko-Ref.]","Die Multimedia-DVD als Info-Medium zur Prävention von Adipositas bei Kindern aus ernährungswissenschaftlicher, pädagogischer und ökonomischer Sicht"," Ortmann, Utz [Ko-Ref.]","Hamm, Michael [Ref.]","Hamm, Michael"," Ortmann, Utz "
4145.0,9738,20.500.12738/6,"Schwarz, Bernd","Farshbaf-Masalehdan, Saman::rp11125::600",Abstandsregelung für ein autonomes Fahrzeug implementiert auf einer FPGA basierten SoC Plattform,," Baran, Rainer ",610725122,"Farshbaf-Masalehdan, Saman","Schwarz, Bernd [Ref.]; Baran, Rainer [Ko-Ref.]",Abstandsregelung für ein autonomes Fahrzeug implementiert auf einer FPGA basierten SoC Plattform," Baran, Rainer [Ko-Ref.]","Schwarz, Bernd [Ref.]","Schwarz, Bernd"," Baran, Rainer "
4732.0,9745,20.500.12738/6,"Wegmann, Christoph","Trost, Christiane::rp11132::600",Hochschul-Sponsoring für den Studiengang Ökotrophologie an der Hochschule für Angewandte Wissenschaften Hamburg,," Laberenz, Helmut",515570559,"Trost, Christiane","Wegmann, Christoph; Laberenz, Helmut",Hochschul-Sponsoring für den Studiengang Ökotrophologie an der Hochschule für Angewandte Wissenschaften Hamburg," Laberenz, Helmut","Wegmann, Christoph","Wegmann, Christoph"," Laberenz, Helmut"
4124.0,9760,20.500.12738/6,"Schmidt, Ralf","Hillmer, Anne-Christin::rp11148::600",Entwicklung eines Presse- und Öffentlichkeitskonzepts für multikulturelle Kulturbetriebe am Beispiel des Hamburger MUT Theaters,," Gundlach, Hardy ",61314595X,"Hillmer, Anne-Christin","Schmidt, Ralf [Ref.]; Gundlach, Hardy [Ko-Ref.]",Entwicklung eines Presse- und Öffentlichkeitskonzepts für multikulturelle Kulturbetriebe am Beispiel des Hamburger MUT Theaters," Gundlach, Hardy [Ko-Ref.]","Schmidt, Ralf [Ref.]","Schmidt, Ralf"," Gundlach, Hardy "
4141.0,9742,20.500.12738/6,"Schürgers, Georg","Tietgen, Jennifer::rp11130::600",Ressourcenorientierte biografische Gesprächsführung : Neue Möglichkeiten für die Soziale Arbeit in der Begleitung von Menschen mit schizophrener Störung,," Strehmel, Petra ",611722046,"Tietgen, Jennifer","Schürgers, Georg [Ref.]; Strehmel, Petra [Ko-Ref.]",Ressourcenorientierte biografische Gesprächsführung," Strehmel, Petra [Ko-Ref.]","Schürgers, Georg [Ref.]","Schürgers, Georg"," Strehmel, Petra "
4135.0,9749,20.500.12738/6,"Perger, Gabriele","Schumann, Kerstin::rp11136::600",Hautschutz mit allen Sinnen erleben und lernen : Ein Schulungskonzept für Auszubildende in Pflege- und Gesundheitsberufen,," Stratmeyer, Peter ",612632520,"Schumann, Kerstin *1968-* ; ID: gnd/1081652667","Perger, Gabriele [Ref.]; Stratmeyer, Peter [Ko-Ref.]",Hautschutz mit allen Sinnen erleben und lernen," Stratmeyer, Peter [Ko-Ref.]","Perger, Gabriele [Ref.]","Perger, Gabriele"," Stratmeyer, Peter "
4120.0,9763,20.500.12738/6,"Kreutzfeld, Jochen","Schultheiss, Johannes::rp11151::600",Ausarbeitung und Verifikation eines Vorschlages zur Berücksichtigung der Bearbeitungsreihenfolge im DePlaVis-Algorithmus,," Jahn, Carlos ",614335345,"Schultheiss, Johannes","Kreutzfeld, Jochen [Ref.]; Jahn, Carlos *1966-* ; ID: gnd/120808757",Ausarbeitung und Verifikation eines Vorschlages zur Berücksichtigung der Bearbeitungsreihenfolge im DePlaVis-Algorithmus," Jahn, Carlos *1966-* ; ID: gnd/120808757","Kreutzfeld, Jochen [Ref.]","Kreutzfeld, Jochen"," Jahn, Carlos "
4129.0,9755,20.500.12738/6,"Hasemann, Henning","Gräfe, Oliver::rp11142::600",Entwicklung einer EtherCAT Verbindung zwischen einem 32-bit PIC Mikrocontroller und einer Soft-SPS,," Meiners, Ulfert ",612898717,"Gräfe, Oliver","Hasemann, Henning [Ko-Ref.]; Meiners, Ulfert [Ref.]",Entwicklung einer EtherCAT Verbindung zwischen einem 32-bit PIC Mikrocontroller und einer Soft-SPS," Meiners, Ulfert [Ref.]","Hasemann, Henning [Ko-Ref.]","Hasemann, Henning"," Meiners, Ulfert "
4138.0,9746,20.500.12738/6,"Kahlbrandt, Bernd","Rode, Stefan::rp11133::600",Einfluss von Java Code Optimierungsverfahren auf die Energieeffizienz,," Hübner, Martin ",612529223,"Rode, Stefan","Kahlbrandt, Bernd [Ref.]; Hübner, Martin [Ko-Ref.]",Einfluss von Java Code Optimierungsverfahren auf die Energieeffizienz," Hübner, Martin [Ko-Ref.]","Kahlbrandt, Bernd [Ref.]","Kahlbrandt, Bernd"," Hübner, Martin "
4127.0,9758,20.500.12738/6,"Schneider, Jochen","Khan, Rafael::rp11146::600",Embedded System als Human - Machine - Interface mit flexibler Menüstruktur und CAN Anbindung an ein digitales Schutzrelais,," Schubert, Franz ",612946843,"Khan, Rafael","Schneider, Jochen [Ko-Ref.]; Schubert, Franz [Ref.]",Embedded System als Human-Machine-Interface mit flexibler Menüstruktur und CAN Anbindung an ein digitales Schutzrelais," Schubert, Franz [Ref.]","Schneider, Jochen [Ko-Ref.]","Schneider, Jochen"," Schubert, Franz "
4122.0,9761,20.500.12738/6,"Schmidt, Ralf","Wohlers, Rembert::rp11149::600","Szenarien des Web-TV : Bestandaufnahme und Trendanalyse zu Technik, Inhalt und Wirkung von internetvermittelten Fernsehformaten für Nischenmärkte",," Gennis, Martin ",613203844,"Wohlers, Rembert","Schmidt, Ralf [Ref.]; Gennis, Martin [Ko-Ref.]",Szenarien des Web-TV," Gennis, Martin [Ko-Ref.]","Schmidt, Ralf [Ref.]","Schmidt, Ralf"," Gennis, Martin "
4118.0,9764,20.500.12738/6,"Kübler, Hans-Joachim","Quast, Angela::rp11152::600",Onlineauftritt als Marketinginstrument am Theater : Vergleichende Inhaltsanalyse ausgewählter Websites öffentlicher und privater Bühnen aus Hamburg,," Ludwig, Johannes ",614798418,"Quast, Angela","Kübler, Hans-Joachim [Ref.]; Ludwig, Johannes [Ko-Ref.]",Onlineauftritt als Marketinginstrument am Theater," Ludwig, Johannes [Ko-Ref.]","Kübler, Hans-Joachim [Ref.]","Kübler, Hans-Joachim"," Ludwig, Johannes "
4116.0,9766,20.500.12738/6,"Geeb, Franziskus","Ivanov, Ivo::rp11154::600","Implementierung von Blog, Wiki und RSS-Feed in der Bibliothek der Bucerius Law School bei laufendem Studien- und Forschungsbetrieb",," Gennis, Martin ",614800102,"Ivanov, Ivo","Geeb, Franziskus [Ref.]; Gennis, Martin [Ko-Ref.]","Implementierung von Blog, Wiki und RSS-Feed in der Bibliothek der Bucerius Law School bei laufendem Studien- und Forschungsbetrieb"," Gennis, Martin [Ko-Ref.]","Geeb, Franziskus [Ref.]","Geeb, Franziskus"," Gennis, Martin "
4105.0,9778,20.500.12738/6,"Häusler, Michael","Ellenberger, Annette::rp11167::600",Validierung des mikrobiologischen Nachweises von Alicyclobacillus spp.IFU-Methode Nr. 12 versus Real time PCR,," Schütze, Burkhard",614895456,"Ellenberger, Annette","Häusler, Michael; Schütze, Burkhard",Validierung des mikrobiologischen Nachweises von Alicyclobacillus spp. IFU-Methode Nr. 12 versus Real time PCR," Schütze, Burkhard","Häusler, Michael","Häusler, Michael"," Schütze, Burkhard"
4727.0,9805,20.500.12738/6,"Behr-Völtzer, Christine","Marcinkowska, Beata::rp11190::600",Nahrungsmittelallergien bei gastrointestinalen Erkrankungen,," Defaie, Farnusch",516008145,"Marcinkowska, Beata","Behr-Völtzer, Christine; Defaie, Farnusch",Nahrungsmittelallergien bei gastrointestinalen Krankheiten," Defaie, Farnusch","Behr-Völtzer, Christine","Behr-Völtzer, Christine"," Defaie, Farnusch"
4092.0,9790,20.500.12738/6,"Geeb, Franziskus","Schmolt, Sandra::rp11177::600","Virtueller Ausstellungskatalog für die Ausstellung ""Im Zeichen des Elephanten""der Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky",," Schade, Frauke ",61492541X,"Schmolt, Sandra","Geeb, Franziskus [Ref.]; Schade, Frauke [Ko-Ref.]",Virtueller Ausstellungskatalog für die Ausstellung 'Im Zeichen des Elephanten' der Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky," Schade, Frauke [Ko-Ref.]","Geeb, Franziskus [Ref.]","Geeb, Franziskus"," Schade, Frauke "
4110.0,9772,20.500.12738/6,"Gundlach, Hardy","Klußmeyer, Henrik::rp11161::600","Leistungsorientiertes Personalmanagement in öffentlichen Bibliotheken? : Chancen und Grenzen leistungsorientierter Personalführung unter Berücksichtigung des New Public Management, des TVöD und betriebswirtschaftlicher Motivationstheorien",," Hofmann, Ulrich ",614876133,"Klußmeyer, Hendrik","Gundlach, Hardy [Ref.]; Hofmann, Ulrich [Ko-Ref.]",Leistungsorientiertes Personalmanagement in öffentlichen Bibliotheken?," Hofmann, Ulrich [Ko-Ref.]","Gundlach, Hardy [Ref.]","Gundlach, Hardy"," Hofmann, Ulrich "
4097.0,9785,20.500.12738/6,"Lewandowski, Dirk",,Vergleichende Analyse und szenariobasierte Usability Tests zur Evaluation der Gebrauchstauglichkeit neu gestarteter Suchmaschinen,," Spree, Ulrike ",614922208,"Sünkler, Sebastian","Lewandowski, Dirk [Ref.]; Spree, Ulrike [Ko-Ref.]",Vergleichende Analyse und szenariobasierte Usability Tests zur Evaluation der Gebrauchstauglichkeit neu gestarteter Suchmaschinen," Spree, Ulrike [Ko-Ref.]","Lewandowski, Dirk [Ref.]","Lewandowski, Dirk"," Spree, Ulrike "
4113.0,9769,20.500.12738/6,"Wehkamp, Karl-Heinz","Schnackenberg, Kai::rp11159::600",Die soziale Reintegration von schwerst Opiatabhängigen unter der Substitutionsbehandlung mit Diamorphin,," Verthien, Uwe",614874602,"Schnackenberg, Kai","Wehkamp, Karl-Heinz; Verthien, Uwe",Die soziale Reintegration von schwerst Opiatabhängigen unter der Substitutionsbehandlung mit Diamorphin," Verthien, Uwe","Wehkamp, Karl-Heinz","Wehkamp, Karl-Heinz"," Verthien, Uwe"
4091.0,9792,20.500.12738/6,"Kübler, Hans-Dieter","Hahnke, Nadine::rp11178::600",Internetauftritte ausgewählter Kindermuseen in Deutschland : eine vergleichende Analyse,," Gläser, Christine ",614926912,"Hahnke, Nadine","Kübler, Hans-Dieter [Ref.]; Gläser, Christine [Ko-Ref.]",Internetauftritte ausgewählter Kindermuseen in Deutschland," Gläser, Christine [Ko-Ref.]","Kübler, Hans-Dieter [Ref.]","Kübler, Hans-Dieter"," Gläser, Christine "
4106.0,9777,20.500.12738/6,"Busch-Stockfisch, Mechthild","Giechau, Sandra::rp11166::600",Auswirkung des Reifegrades von Bananen auf die Just-About-Right- und Akzeptanzeinstufung durch Konsumenten,," Köhn, Erhard",614894190,"Giechau, Sandra","Busch-Stockfisch, Mechthild; Köhn, Erhard",Auswirkung des Reifegrades von Bananen auf die Just-About-Right- und Akzeptanzeinstufung durch Konsumenten," Köhn, Erhard","Busch-Stockfisch, Mechthild","Busch-Stockfisch, Mechthild"," Köhn, Erhard"
